
=== OPENALEX FORWARD CITATIONS of W2109573698 (>= 2005) ===
year	venue	title	doi
2006	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	Accuracy-Guaranteed Bit-Width Optimization	https://doi.org/10.1109/tcad.2006.873887
2017		Efficient floating point precision tuning for approximate computing	https://doi.org/10.1109/aspdac.2017.7858297
2007	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	Improved Interval-Based Characterization of Fixed-Point LTI Systems With Feedback Loops	https://doi.org/10.1109/tcad.2007.896306
2010	EURASIP Journal on Advances in Signal Processing	SQNR Estimation of Fixed-Point DSP Algorithms	https://doi.org/10.1155/2010/171027
2012	IEEE Transactions on Circuits and Systems I Regular Papers	Analytical Approach for Numerical Accuracy Estimation of Fixed-Point Systems Based on Smooth Operations	https://doi.org/10.1109/tcsi.2012.2188938
2012	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	Analytical Optimization of Bit-Widths in Fixed-Point LTI Systems	https://doi.org/10.1109/tcad.2011.2170988
2017	Sensors	A Spaceborne Synthetic Aperture Radar Partial Fixed-Point Imaging System Using a Field- Programmable Gate Array−Application-Specific Integrated Circuit Hybrid Heterogeneous Parallel Acceleration Technique	https://doi.org/10.3390/s17071493
2013		Fine grain word length optimization for dynamic precision scaling in DSP systems	https://doi.org/10.1109/vlsi-soc.2013.6673287
2008	IEEE Transactions on Computers	Efficient Approximate Wordlength Optimization	https://doi.org/10.1109/tc.2008.87
2016	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	Enabling High-Level Synthesis Resource Sharing Design Space Exploration in FPGAs Through Automatic Internal Bitwidth Adjustments	https://doi.org/10.1109/tcad.2016.2550501
2006	ACM Transactions on Design Automation of Electronic Systems	Word-length optimization for differentiable nonlinear systems	https://doi.org/10.1145/1124713.1124716
2006	EURASIP Journal on Advances in Signal Processing	Optimum Wordlength Search Using Sensitivity Information	https://doi.org/10.1155/asp/2006/92849
2007	EURASIP Journal on Advances in Signal Processing	Design and Implementation of Numerical Linear Algebra Algorithms on Fixed Point DSPs	https://doi.org/10.1155/2007/87046
2007	IEEE Transactions on Circuits and Systems I Fundamental Theory and Applications	Design and Complexity Optimization of a New Digital IF for Software Radio Receivers With Prescribed Output Accuracy	https://doi.org/10.1109/tcsi.2006.886003
2006	IEEE Transactions on Circuits and Systems II Analog and Digital Signal Processing	Optimal combined word-length allocation and architectural synthesis of digital signal processing circuits	https://doi.org/10.1109/tcsii.2005.862175
2013	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	On the Fixed-Point Accuracy Analysis and Optimization of Polynomial Specifications	https://doi.org/10.1109/tcad.2013.2238290
2011	Asia and South Pacific Design Automation Conference	An efficient hybrid engine to perform range analysis and allocate integer bit-widths for arithmetic circuits	https://doi.org/10.5555/1950815.1950910
2011		An efficient hybrid engine to perform range analysis and allocate integer bit-widths for arithmetic circuits	https://doi.org/10.1109/aspdac.2011.5722233
2012	Journal of Electrical and Computer Engineering	High‐Level Synthesis under Fixed‐Point Accuracy Constraint	https://doi.org/10.1155/2012/906350
2011	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	Automated Range and Precision Bit-Width Allocation for Iterative Computations	https://doi.org/10.1109/tcad.2011.2152840
2010		Automated Precision Analysis: A Polynomial Algebraic Approach	https://doi.org/10.1109/fccm.2010.32
2011	International Journal of Reconfigurable Computing	A Dynamic Dual Fixed-Point Arithmetic Architecture for FPGAs	https://doi.org/10.1155/2011/518602
2006		Automatic Floating-Point to Fixed-Point Transformations	https://doi.org/10.1109/acssc.2006.356588
2014	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	A Formal Method for Optimal High-Level Casting of Heterogeneous Fixed-Point Adders and Subtractors	https://doi.org/10.1109/tcad.2014.2365094
2015	IFIP advances in information and communication technology	Fine Grain Precision Scaling for Datapath Approximations in Digital Signal Processing Systems	https://doi.org/10.1007/978-3-319-23799-2_6
2015		Finite word length optimization for spaceborne SAR imaging systems	https://doi.org/10.1109/radar.2015.7131114
2012	HAL (Le Centre pour la Communication Scientifique Directe)	Many-core parallelization of fixed-point optimization of VLSI circuits through GPU devices	None
2010		Fast fixed-point optimization of DSP algorithms	https://doi.org/10.1109/vlsisoc.2010.5642659
2010		Challenges in verifying and optimizing fixed-point arithmetic-intensive designs	https://doi.org/10.1109/aqtr.2010.5520840
2012	IEEE Transactions on Circuits & Systems II Express Briefs	A Discrete Model for Correlation Between Quantization Noises	https://doi.org/10.1109/tcsii.2012.2222838
2016	INTERNATIONAL JOURNAL OF EMERGING TRENDS IN SCIENCE AND TECHNOLOGY	A Review Paper on Arithmetic and Logical Unit for Graphics Processor	https://doi.org/10.18535/ijetst/v3i02.08
2017		Algorithms and Arithmetic: Choose Wisely	https://doi.org/10.1109/arith.2017.17
2011	ISRN Signal Processing	An Automated Fixed-Point Optimization Tool in MATLAB XSG/SynDSP Environment	https://doi.org/10.5402/2011/414293
2017	ACM Transactions on Design Automation of Electronic Systems	Training Fixed-Point Classifiers for On-Chip Low-Power Implementation	https://doi.org/10.1145/3057275
