=== DBLP VENUE SWEEP ===
venue	year	title	authors	doi
FCCM	2026	Precision-aware Communication in CGRAs.	Shwet Chitnis, Fergus Xu, Ayush Kulkarni, Jiayi Wang	10.1109/FCCM68464.2026.00057
FCCM	2026	Chariot: Compiler-Aware Heterogeneous Graph Representation Learning for Automated HLS Optimization.	Yanlong Huang, Jierui Liu, Yuhan She, Rongliang Fu	10.1109/FCCM68464.2026.00052
FCCM	2026	Sparse Compressed Quantized Dataflow Architecture (QUDA) for Neuromorphic Computing.	Shadi Matinizadeh, Anup Das 0001	10.1109/FCCM68464.2026.00071
FCCM	2026	Accelerating Topology Optimization on AMD Versal AIE-ML Engines.	Kaustubh Manohar Mhatre, Vedant Tewari, Aditya Ray, Farhan Khan	10.1109/FCCM68464.2026.00047
FCCM	2026	TransDot: An Area-efficient Reconfigurable Floating-Point Unit for Trans-Precision Dot-Product Accumulation for FPGA AI Engines.	Jiayi Wang, Maohua Nie, Sin-Chen Lin, C.-J. Richard Shi	10.1109/FCCM68464.2026.00034
FCCM	2025	Performance Modeling and Comparisons of an FPGA-based Direct Simulation Monte Carlo Solver.	Saleen Bhattarai, Edwin G. W. Peters, Sean O&apos;Byrne, David Petty	10.1109/FCCM62733.2025.00073
FCCM	2025	Accelerating Scientific Model Optimization with a Pipelined FPGA-Based Differential Evolution Engine.	Manuel de Castro, Roberto R. Osorio, Yuri Torres, Diego R. Llanos	10.1109/FCCM62733.2025.00055
FPL	2025	Multiplexer Optimizations for Virtex FPGAs.	Nicolai Fiege, Martin Hardieck, Peter Zipf	10.1109/FPL68686.2025.00019
FPL	2025	FINN-GL: Generalized Mixed-Precision Extensions for FPGA-Accelerated LSTMS.	Shashwat Khandelwal, Jakoba Petri-Koenig, Thomas B. Preußer, Michaela Blott	10.1109/FPL68686.2025.00018
FPL	2025	Aspo: Constraint-Aware Bayesian Optimization for Fpga-Based Soft Processors.	Haoran Wu, Ce Guo 0002, Wayne Luk, Robert Mullins 0001	10.1109/FPL68686.2025.00036
FPL	2025	DEFA: Design Space Exploration for FPGA Overlay Accelerators Through Frequency Prediction and Bayesian Optimization.	Qilong Zhu, Yunfei Dai, Shiyan Bi, Huizhen Kuang	10.1109/FPL68686.2025.00017
FPL	2024	Shedding the Bits: Pushing the Boundaries of Quantization with Minifloats on FPGAs.	Shivam Aggarwal, Hans Jakob Damsgaard, Alessandro Pappalardo, Giuseppe Franco	10.1109/FPL64840.2024.00048
FPL	2024	Revealing Untapped DSP Optimization Potentials for FPGA-Based Systolic Matrix Engines.	Jindong Li 0001, Tenglong Li, Guobin Shen, Dongcheng Zhao	10.1109/FPL64840.2024.00035
FPL	2024	SA4: A Comprehensive Analysis and Optimization of Systolic Array Architecture for 4-bit Convolutions.	Geng Yang 0001, Jie Lei 0001, Zhenman Fang, Jiaqing Zhang	10.1109/FPL64840.2024.00036
TRETS	2026	Pipelined FPGA Implementation of a Differential Evolution Engine for Optimization of Scientific Models.	Manuel de Castro, Roberto R. Osorio, Yuri Torres, Diego R. Llanos	10.1145/3804449
TRETS	2025	CollectiveHLS: A Collaborative Approach to High-Level Synthesis Design Optimization.	Aggelos Ferikoglou, Andreas Kosmas Kakolyris, Dimosthenis Masouros, Dimitrios Soudris	10.1145/3702005
TRETS	2025	LHAM: Low-Cost and High-Accuracy Approximate Multiplier for FPGA-Based Computing.	Mingyu Shu, Qiang Liu 0011	10.1145/3770757
FPGA	2026	FlexMSM: A Flexible FPGA-Based Accelerator for Multi-Scalar Multiplication with Reconfigurable Modular Arithmetic and Optimized Pippenger Scheduling.	Cheng Chen 0076, Gangqiang Yang, Hongchao Zhou, Hailiang Xiong	10.1145/3748173.3779559
FPGA	2026	ViM-Q: Energy Efficient Algorithm-Hardware Co-Design for Dynamically Quantized Vision Mamba Models.	Shengzhe Lyu, Yuhan She, Patrick S. Y. Hung, Ray C. C. Cheung	10.1145/3748173.3779565
FPGA	2026	Analysis and Optimization of Input-Dependent Stream Processing Pipelines on FPGAs.	Shashank Obla, Bin Li, James C. Hoe	10.1145/3748173.3779555
FPGA	2026	Striking the Balance: GEMM Performance Optimization Across Generations of Ryzen™ AI NPUs.	Endri Taka, Andre Roesti, Joseph Melber, Pranathi Vasireddy	10.1145/3748173.3779551
FPGA	2026	UDP: A Universal DSP Packing Framework for Low-bitwidth MAC Acceleration on FPGAs.	Jundong Wu, Zhendong Zheng, Lei Gong 0003, Chao Wang 0003	10.1145/3748173.3779194
FPGA	2026	Hardware Software Optimizations for Fast Model Recovery on Reconfigurable Architectures (FPGAs) for Edge and Physical AI.	Bin Xu, Ayan Banerjee 0001, Sandeep K. S. Gupta	10.1145/3748173.3779554
FPGA	2025	Two-Phase Transistor Sizing for FPGAs via Bayesian Optimization.	Xianfeng Cao, Huizhen Kuang, Yuanqi Wang, Lingli Wang	10.1145/3706628.3708825
